textid	Language	text	target
4018	en	"Sometimes I'm only waiting for your smile
Sometimes I'll only wait a while
Sometimes the feeling makes me wanna cry
Tell me why
Sometimes I'm fooling playing for my time
Sometimes the days are always fine
Sometimes a copper wants me on a line
It's a crime
It's always tomorrow
Ain't no sorrow and pain
There's always a reason
Always believe in my soul
It's always tomorrow
Ain't no sorrow and pain
There's always a reason
Always believe in my soul
Sometimes I'm only waiting for your smile
Sometimes I'll only wait a while
Sometimes the feeling makes me wanna cry
Tell me why"	Rock
3687	en	"She said ""Thanks but I'm broken
I guess ya' must have mispoken
Wanna laugh I've never been chosen by anyone""
She was barely a teen hangin' out in between
Just a part of the scene
With mercurial smile and incurable style
She was only a dream
How's that?
He didn't know a thing about
Makin' love to the kinda' girl you read about
He said ""I'm bound to be broken
But then in bed, ""that I amount to nothin'""
He won't let anybody show him anything
He was a troubled child
Had been down for a while
Always kept to himself
No she couldn't defend he only wanted a friend
Now he's made somethin' else
It's so sad
No one saw it comin'
The paper said that he hit the ground runnin'
Oh Yeah
I know I'm not broken
A little cracked
But still I'm not broken
I wanna laugh but I think that I am chokin' on reality
When the world is turning for you
Don't turn on me
Who are you here to repair
Well I don't know what you mean
You could never exist
You're a fight in despair
And now it's comin' to you and I don't really care
Well I'm not the kind to insist
You couldn't have missed
We must co-exist
So please listen to me
There is no such thing as human debris
Oh Yeah
I know I'm not broken
A little cracked
But that amounts to nothin'
I wanna laugh
I'm not jokin'
I'm unbroken
(Oh Yeah, I said I'm not broken)
I said I'm unbroken
(A little cracked, It's just a token)
I'm really not broken
(Well I guess, I'm not broken)"	Pop
1997	en	"I bought a Porsche
And I'm leavin' Grand Rapids
Quit my job, quit my school,
Quit this place
My mother cried
My father was fried
Hey, I've got no time, man
I wanna say goodbye to my babes
I like girls
I dumped Sheila on Thursday
I'll drop Melissa today
I'll kiss some tears off of Donna
Ask if she'll call on Shauna
Amanda, and Sandra and Kay
I like girls, I love 'em to death
Hey Valentino! You goin' somewhere?
You wouldn't sneak out on me, would you?
What's that a blond hair?
He must visualize himself an Errol Flynn
I see myself a suave sophisticated lover
I'll meet a rich hot old Hollywood dame
You see, my ultimate goal
Will be my life bein' told
In a penthouse letter that I can frame
And keep at home.
I like girls, I love 'em, oh yeah
New luggage? Did you say you were going
Somewhere? Oh, just out for some fresh air.
Does she have a nice pair?
He was swallowed alive by the freeway
Turned into an ant on parade
He bravely drove off that beast
Aimed his car back to the east
Why be a snack at home?
I'm a feast, for the girls
I like girls, I really like 'em
Well, well, well
Look who's back
Run out of gas?
Patty, I was just gonna call you
Look...
I left Donna and Shauna
And Katy and Carrie
Melissa and Dena
I just didn't have any use for 'em
I just want you
Really, no really, honest!
Oink off!."	Rock
4033	en	"So I just walk out in the rain so that the clouds could hide the pain
And maybe you will never see the 1000 tears you gave to me
And if the rain should go away then in my lonely room I'll stay
So that the world will never know how much it hurts to see you go away
So I just live a life of hope pretending that I could not care
But if you find you cannot cope just call my name and I'll be there
If I could live my life again I still relive those precious times
Although I know there will be pain it felt so good while you were mine
Be mine be mine
So I Just walk out in the rain so that the clouds could hide the pain
And maybe you will never see the 1000 tears you gave to me
And if the rain should go away then in my lonely room I stay
So that the world will never know how much it hurts to see you go
And if you ever change your mind
I'm sure baby you will find all my sorrow and my pain
You'll find me walking in the rain"	Rock
1248	en	"Ah, can you read in all your magazines
Thinkin' that you got it near
You trust to kill you're going out tonight
Baby, all your let me see
Yeah, right, you gotta make it now
Every trick in the book
Lookin' sharp, you're feelin' heat
Like some cat on a hotel mob
(Chorus)
Sharpshooter
Thinkin' 'bout your lover, man
Sharpshooter
Leavin' every night and day
Quick as a shot
You think you're hot
You're stealy as you start the night
You're goin' downtown
Lookin' mighty clean
When you wish to take a shot
So all right, you gotta make it now
Every trick in the book
Feelin' heat, The eggshell shot
Like some can on a hotel mob
Well, all right, it's okay tonight
Yes, they can number one
is 'll right, it's okay
But wait they can try
All right, so right
It's okay
(Chorus)
Ah, can you read in all your magazines
Thinkin' that you got it near
You trust to kill you're going out tonight
Baby, all your let me see
Yeah, right, you gotta make it now
Every trick in the book
Lookin' sharp, you're feelin' heat
Like some cat on a hotel mob
Well, all right, it's okay tonight
Yes, they can number one
is 'll right, it's okay
But wait they can try
All right, so right
It's okay."	Rock
2192	en	"It's alright
There comes a time
Got no patience to search
For peace of mind
Layin' low
Want to take it slow
No more hiding or
Disguising truths I've sold
Everyday it's something
Hits me all so cold
Find me sittin' by myself
No excuses, then I know
It's okay
Had a bad day
Hands are bruised from
Breaking rocks all day
Drained and blue
I bleed for you
You think it's funny, well
You're drowning in it too
Everyday it's something
Hits me all so cold
Find me sittin' by myself
No excuses, then I know
Yeah, it's fine
We'll walk down the line
Leave our rain, a cold
Trade for warm sunshine
You my friend
I will defend
And if we change, well I
Love you anyway
Everyday it's something
Hits me all so cold
Find me sittin' by myself
No excuses, then I know"	Rock
2712	en	"Stand away the dreaded burning fire
Will leave its mark for those with no desire
Stand in front of the whole creation
Face the people starved like worms
Still I'm begging for comprehension
From the ones who rule us all
In this field the dying embers soil
All around we mourn
Oh, here they come again
The stars can't find the purple sky
Long for the day be back someday
And the church
Don't let us die
Let me rest in peace
Sanity brings up the sadness
that keeps your illusions locked in a little box
Fright comes, you find yourself lonely
in a cage of conclusions crowding your mind
You sit back bowing your head
Every answer - yes
Why don't you trust me and shed out your fears,
Running over the tears you've contained
now cover up your eyes
- Is it good for you?
And I'll be here when fire burns
(Inside your heart)
Climb up the hills and mountains,
don't forget what you've learned!
Life makes us feel the time we cannot hold
Time makes us live a tale already told
Time makes us heal a feeling inside
a feeling that lies in our heart
that we stole away...
Time after time
Burned your wings on the sun
Metal Icarus
Night after night
Up on forced unknown
Metal Icarus
Ah! Those were the years
I can still feel the windy heights
Against my skin
And if I close my eyes
I'm flying over hills!
Still stare at my face
But lost seem your eyes
Keep hold of the sails
Against the blue sky
Ooh, I'm intending
A way back to the sea
This emptiness burns inside
And leads on for endless miles
Don't let me go
Away across the sea,
The waves can't be as high
As they pretend to be
And now I know
In my heart, I won't forget
The sails against the blue sky
That taught me how to live
Hear the whispers of your hope
The answer wasn't told
No, don't laugh seeing me cry
The end I've left behind
Make believe
There's no sorrow in your eyes
Can't you see
We could never get back from the start
Minutes waiting, life's been wasted
And I've tried,
Maybe you deny
Words of peace
For the future of our lives
Bring to me
Something else than a broken heart
I won't wait 'till my life is wasted
Maybe I wanna die some other day
Somehow I turn around and see
My nerves break down inside
Maybe you might know much more than me
So tell me what is right to say
Down the weakness of my soul
Lie the secrets, and I know
There's something pushing back
Wish my hands could turn to gold
And my heart would break the cold
To give my thoughts some sense
Under the sun
In a solitary world
I am running alone
Scars on my face
Weary hands from digging dirt
I was dying all alone
Am I running?
Where am I?
Where has everyone gone this time?
Left my future far behind
I am nothing but the sole survivor"	Metal
2190	en	"We chase misprinted lies
We face the path of time
And yet I fight
And yet I fight
This battle all alone
No one to cry to
No place to call home
My gift of self is raped
My privacy is raked
And yet I find
And yet I find
Repeating in my head
If I can't be my own
I'd feel better dead"	Rock
4670	en	"all my days I had moldy bread
robot brains and the flyin' airplanes
hollowed out and filled with dust
rockin' like a hurricane under the rug
bored to the core on a sunken boat
a worn out candle and a plastic coat
a ziplock bag, a pelican bone
a perfect shape, a cardboard reject
overfed, electric comatose
riding in the air, invisible socks
a broken blanket, flamin' sawdust
wakin' up in the shadow of a piece of dirt
gonna fly like a dog
gonna leap right out the wall
gonna walk around this town with a can o' whiskey
gonna run like a bird
gonna roll out in the dirt
gonna run around this town with the phone machine
yellow cat layin flat on the road
molten lead shootin' out the ground
tinfoil witch burnin' under the bridge
flap your wings and leap out the window
put a glass eye in the eyes of god,
nuke the kiss
polaroid cupcake
take it to the limit, new wave biscuit
camouflage gimmick, whip out like never before
gonna jump like a fly
gonna burn like a pig
gonna flap around and pass out on the kitchen floor
gonna crawl like a rock
gonna dance like a worm
gonna take my shoes right off and smell my socks
fly like a squirrel
gonna swim like a chicken
gonna weedwack a plate of noodles in the afternoon
gonna melt like a weasel
gonna fry like a kid
gonna get my walkie talkie, and some mustard and
some mayonnaise, and a mermaid, and some macaroni, bricks, and some."	Pop
5142	en	"Tough day on the firin' line, dontcha wanna make some time
Come down take a chance or two, I'll be lookin' out for you
Run all night, slip all day
Make me crazy baby, don't you wait
I got the key to the powerhouse
I got the key to the powerhouse
I got the key, you can't lock me out
C'mon baby we can work out--work out--work
Cold steel rollin' down the track
big wheel gonna break your back
Love's not an easy thing--love'll show ya everything
Drive all night--slum all day
Take me closer baby--don't you wait
I got the key to the powerhouse
I got the key to the powerhouse
C'mon down you can knock me out
C'mon baby we can work out--work out--work
Run all night, slip all day
Make me crazy baby, don't you wait
Drive all night, slum all day
Pull me closer baby, steal away"	Rock
