textid	text	label
1	Não significa muito Não significa nada na verdade A vida que deixei atrás de mim É uma sala fria Eu cruzei a última linha De onde não posso retornar Onde cada passo que eu dou na fé me trai E me conduz de meu lar E doce Doce rendição É tudo que eu tenho para dar Você me pega Sem perguntas feitas Você descasca a feiúra Que me cerca Você é um anjo Eu já fui embora Eu só espero Que eu não desaponte você Quando	Folk
2	Pela janela do meu quarto eu vejo a chuva Penso em você no meu amor que nunca muda Espero o dia inteiro e você não vem Amor igual ao meu não vai ter de ninguém E nas esquinas escuras de qualquer lugar Já não sei mais aonde procurar Pra te dizer as coisas que eu sempre quis Te roubar pra mim e te fazer feliz Não sabe o que é ter que esquecer Cada minuto cada instante que eu passei com você Pra que dizer que não é feliz? E esconder da sua vida o que você sempre quis Pela janela do meu quarto eu vejo a chuva Penso em você no meu amor que nunca muda Espero o dia inteiro e você não vem Amor igual ao meu não	Folk
3	Parecia estar Numa nova era, Na hora em que você me falou em parar. Sei que onde estou Não é aonde espera. Mas o que eu tinha pra você ninguém supera. E se eu pudesse assim mudar, Jurei que iria até tentar. Se eu não consigo te olhar, Não é por querer. E se às vezes exagero, Olho pra cá e não te enxergo, Não é porque Não queira te ver. Eu não vou ficar Tão perto de perder você, Assim sem me mexer. Eu não acredito que o nosso amor acabou. Parecia entrar numa nova esfera Andando em círculos, Sempre com a mesma ideia, Que	Folk
4	Perdida a noite abro a janela após chuva Penso em você e no meu amor que nunca muda Espero o dia inteiro e você não vem Amor igual ao meu não vai ter de ninguém E nas esquinas escuras de qualquer lugar Perco meu tempo querendo te encontrar Pra te dizer as coisas que eu sempre quis Te roubar pra mim e te fazer feliz Não sabe o que é ter que esquecer Cada minuto, cada instante passado com você Pra me dizer que não é feliz E esconder da sua vida o que você sempre quis Perdido a noite abro a janela após a chuva Penso em você e no meu amor que nunca muda Espero o dia inteiro e você não vem Amor igual ao meu não vai ter de ninguém E nas esquinas escuras de qualquer lugar Perco meu tempo querendo te encontrar Pra te dizer as coisas que eu sempre quis Te roubar pra mim e	Folk
5	Qual é o nome dela? Izabella Eu não vivo sem ela Izabella E quando eu encontro tão sozinho Sem destino e tão vazio Ela vem me salvar, eu sei Ela vem me salvar Ela vem	Folk
6	Ainda me lembro de tudo que passei Por quanto tempo sentei e esperei Pra hoje ela me dizer que não quer mais. Não sei o que me fez acreditar que eu era o cara certo pra ficar Sempre junto dela	Folk
7	Ela disse que é pra sempre Mas não sei, acho que não Posso até seguir em frente Mas não vou andar na contramão Se um dia eu quis lembrar Ela quis esquecer Até por esse lado poderia entender Queria ir pro mar Ela nem quis saber Tão longe de mim Já sei o que falta Não sei se tem volta Aquela história passou Eu sei o que importa Espero na porta Aonde ela me deixou	Folk
8	No seu olhar, um brilho azul do céu Pra mergulhar e me dizer onde errei Aonde estava o seu olhar? Um novo amor, nasceu pra me dizer Voei, corri, mas não te encontrei Aonde estava o seu olhar? Longe, que vem dizendo sinta-me, siga-me Se eu te amarei No seu olhar, eu vi você dizer Me apaixonei, pelo amor	Folk
9	dudududunara dudududunara dudududunaraaa (x2) Agora é hora vou mudar O que foi dito, momentos nao voltam mais Agora é hora pra dizer o quanto eu amo o quanto eu quis você Não sei se me quer mais Só o tempo contra o vento que te traz E se não volta mais Você não sabe o que deixou pra trás Não importa aonde vou ou o que farei Se você me da forças eu vou te buscar e você vai me amar Você vai me	Folk
10	Me devolva, tudo o que eu já te dei Que eu não vou mais, me enganar dessa vez E a resposta, não sou eu quem vai dar O começo, sempre volta do fim Parece estranho, mais pra você que pra mim Agora tudo o que eu tenho, tudo o que eu mais quero é poder te falar Me	Folk
11	Mais um dia eu aqui Assim, não dá pra ficar Sem pensar quero seguir, e ao fim chegar em outro lugar Porque tudo o que eu faço Não é o bastante para mim, pra você ou pra ninguém Todo dia eu me deparo Com	Folk
12	Dá licença mas eu vou entrar Abaixo o som do rádio e vem pra cá Não era a intenção atrapalhar E com certeza espero seu jantar tô pra te ganhar, tô pra perder Tenho que falar, falo pra você Que eu tô	Folk
13	Não vá dizer que eu não sou o que ela sempre sonhou, Ela precisa de alguém, tô precisando também, E ela e eu por um, Somos dois, Se ela quiser eu vou acreditar Refrão: Hey, tem alguém querendo me escutar Hey, tem alguém querendo te falar Hey, tem alguém querendo que você não vá Não vá	Folk
14	Se um dia não for o bastante pra mim baby Você vai ter que se ligar Mil palavras não expressam o que eu sinto Espere aqui que eu vou mostrar. Eu te avisei Quem não quer nada com nada Ás vezes pode se machucar.. [Refrão] Você pra mim agora é problema seu E resolvi dizer que não é mais você.. Sou eu. Nesse momento eu já tô saindo fora Não tenho hora pra voltar Pra	Folk
15	Quantas vezes eu te falei De sonhos que não passam de uma vez É ser mais sincero Pra que dê mais certo Toda vez que a gente quiser. Não estamos assim tão iguais Como eramos há anos atrás Quando a sua vida era toda minha e você não queria parar. Então vem me procurar agora Sem mais pensar O seu amor é meu e o meu amor é seu. Com você eu faço acontecer Tão fácil se perder Com você. Quantas vezes eu te falei De	Folk
16	Faz muito tempo amor que eu tô te esperando E eu já não sei mais o que fazer de mim, Nossos sonhos nossas vidas se acabando, Enquanto você não está aqui Não é difícil saber que eu te quero tanto Cada minuto é mais que um dia sem você O meu amor aumenta a cada instante E eu não consigo esquecer Sem você não dá, não dá pra ficar, porque no meu coração você está (2x) Não é difícil saber	Folk
17	Uma vez me disseram Que o amor não tem limites E por mais longe que você esteja Nada vai mudar entre nós Mas eu sei que não é bem assim Novas pessoas novas mentes entre eu e você Quem sabe um dia a gente se vê por ai Choramos juntos Sorrimos muito mais e o nosso amor Não vai ficar pra trás (2x) Em minha memória	Folk
