	model	target_class	precision	recall	f1
0	/Users/jordanshaps/Desktop/CS426/cosc426-final-jordan-lily-mel/models/en_model	Folk	0.7	0.98	0.8166666666666667
1	/Users/jordanshaps/Desktop/CS426/cosc426-final-jordan-lily-mel/models/en_model	Indie	0.7142857142857143	0.6	0.6521739130434783
2	/Users/jordanshaps/Desktop/CS426/cosc426-final-jordan-lily-mel/models/en_model	Metal	0.45348837209302323	0.78	0.5735294117647058
3	/Users/jordanshaps/Desktop/CS426/cosc426-final-jordan-lily-mel/models/en_model	Pop	0.7105263157894737	0.54	0.6136363636363636
4	/Users/jordanshaps/Desktop/CS426/cosc426-final-jordan-lily-mel/models/en_model	Rock	0.42857142857142855	0.12	0.1875
5	/Users/jordanshaps/Desktop/CS426/cosc426-final-jordan-lily-mel/models/pt_model	Folk	0.0	0.0	0.0
6	/Users/jordanshaps/Desktop/CS426/cosc426-final-jordan-lily-mel/models/pt_model	Indie	0.0	0.0	0.0
7	/Users/jordanshaps/Desktop/CS426/cosc426-final-jordan-lily-mel/models/pt_model	Metal	0.2	1.0	0.3333333333333333
8	/Users/jordanshaps/Desktop/CS426/cosc426-final-jordan-lily-mel/models/pt_model	Pop	0.0	0.0	0.0
9	/Users/jordanshaps/Desktop/CS426/cosc426-final-jordan-lily-mel/models/pt_model	Rock	0.0	0.0	0.0
